test_name,b_bp,r_bp,txn_id,op_type,bank,latency_ns
mem_full_test,0,0,517,WR,1,40.00
mem_full_test,0,0,519,WR,1,50.00
mem_full_test,0,0,521,WR,1,40.00
mem_full_test,0,0,523,WR,1,50.00
mem_full_test,0,0,525,WR,1,40.00
mem_full_test,0,0,527,WR,1,40.00
mem_full_test,0,0,529,WR,1,50.00
mem_full_test,0,0,531,WR,1,40.00
mem_full_test,0,0,533,WR,1,40.00
mem_full_test,0,0,535,WR,1,40.00
mem_full_test,0,0,537,WR,1,40.00
mem_full_test,0,0,539,WR,1,40.00
mem_full_test,0,0,541,WR,1,50.00
mem_full_test,0,0,543,WR,1,50.00
mem_full_test,0,0,545,WR,1,40.00
mem_full_test,0,0,547,WR,1,40.00
mem_full_test,0,0,549,WR,1,40.00
mem_full_test,0,0,551,WR,1,40.00
mem_full_test,0,0,553,WR,1,40.00
mem_full_test,0,0,555,WR,1,50.00
mem_full_test,0,0,557,WR,1,60.00
mem_full_test,0,0,559,WR,1,40.00
mem_full_test,0,0,561,WR,1,40.00
mem_full_test,0,0,563,WR,1,50.00
mem_full_test,0,0,565,WR,1,50.00
mem_full_test,0,0,567,WR,1,40.00
mem_full_test,0,0,569,WR,1,50.00
mem_full_test,0,0,571,WR,1,50.00
mem_full_test,0,0,573,WR,1,60.00
mem_full_test,0,0,575,WR,1,40.00
mem_full_test,0,0,577,WR,1,40.00
mem_full_test,0,0,579,WR,1,50.00
mem_full_test,0,0,581,WR,1,40.00
mem_full_test,0,0,583,WR,1,40.00
mem_full_test,0,0,585,WR,1,40.00
mem_full_test,0,0,587,WR,1,40.00
mem_full_test,0,0,589,WR,1,50.00
mem_full_test,0,0,591,WR,1,60.00
mem_full_test,0,0,593,WR,1,40.00
mem_full_test,0,0,595,WR,1,40.00
mem_full_test,0,0,597,WR,1,40.00
mem_full_test,0,0,599,WR,1,40.00
mem_full_test,0,0,601,WR,1,40.00
mem_full_test,0,0,603,WR,1,40.00
mem_full_test,0,0,605,WR,1,40.00
mem_full_test,0,0,607,WR,1,40.00
mem_full_test,0,0,609,WR,1,40.00
mem_full_test,0,0,611,WR,1,40.00
mem_full_test,0,0,613,WR,1,40.00
mem_full_test,0,0,615,WR,1,50.00
mem_full_test,0,0,617,WR,1,40.00
mem_full_test,0,0,619,WR,1,40.00
mem_full_test,0,0,621,WR,1,40.00
mem_full_test,0,0,623,WR,1,40.00
mem_full_test,0,0,625,WR,1,40.00
mem_full_test,0,0,627,WR,1,40.00
mem_full_test,0,0,629,WR,1,50.00
mem_full_test,0,0,631,WR,1,40.00
mem_full_test,0,0,633,WR,1,40.00
mem_full_test,0,0,635,WR,1,40.00
mem_full_test,0,0,637,WR,1,40.00
mem_full_test,0,0,639,WR,1,40.00
mem_full_test,0,0,641,WR,1,40.00
mem_full_test,0,0,643,WR,1,40.00
mem_full_test,0,0,645,WR,1,40.00
mem_full_test,0,0,647,WR,1,40.00
mem_full_test,0,0,649,WR,1,40.00
mem_full_test,0,0,651,WR,1,40.00
mem_full_test,0,0,653,WR,1,50.00
mem_full_test,0,0,655,WR,1,40.00
mem_full_test,0,0,657,WR,1,40.00
mem_full_test,0,0,659,WR,1,40.00
mem_full_test,0,0,661,WR,1,40.00
mem_full_test,0,0,663,WR,1,40.00
mem_full_test,0,0,665,WR,1,50.00
mem_full_test,0,0,667,WR,1,40.00
mem_full_test,0,0,669,WR,1,50.00
mem_full_test,0,0,671,WR,1,40.00
mem_full_test,0,0,673,WR,1,40.00
mem_full_test,0,0,675,WR,1,40.00
mem_full_test,0,0,677,WR,1,40.00
mem_full_test,0,0,679,WR,1,40.00
mem_full_test,0,0,681,WR,1,40.00
mem_full_test,0,0,683,WR,1,40.00
mem_full_test,0,0,685,WR,1,40.00
mem_full_test,0,0,687,WR,1,50.00
mem_full_test,0,0,689,WR,1,40.00
mem_full_test,0,0,691,WR,1,40.00
mem_full_test,0,0,693,WR,1,40.00
mem_full_test,0,0,695,WR,1,40.00
mem_full_test,0,0,697,WR,1,50.00
mem_full_test,0,0,699,WR,1,60.00
mem_full_test,0,0,701,WR,1,40.00
mem_full_test,0,0,703,WR,1,40.00
mem_full_test,0,0,705,WR,1,40.00
mem_full_test,0,0,707,WR,1,50.00
mem_full_test,0,0,709,WR,1,40.00
mem_full_test,0,0,711,WR,1,40.00
mem_full_test,0,0,713,WR,1,40.00
mem_full_test,0,0,715,WR,1,40.00
mem_full_test,0,0,717,WR,1,40.00
mem_full_test,0,0,719,WR,1,40.00
mem_full_test,0,0,721,WR,1,40.00
mem_full_test,0,0,723,WR,1,40.00
mem_full_test,0,0,725,WR,1,40.00
mem_full_test,0,0,727,WR,1,40.00
mem_full_test,0,0,729,WR,1,40.00
mem_full_test,0,0,731,WR,1,40.00
mem_full_test,0,0,733,WR,1,40.00
mem_full_test,0,0,735,WR,1,40.00
mem_full_test,0,0,737,WR,1,40.00
mem_full_test,0,0,739,WR,1,40.00
mem_full_test,0,0,741,WR,1,40.00
mem_full_test,0,0,743,WR,1,50.00
mem_full_test,0,0,745,WR,1,40.00
mem_full_test,0,0,747,WR,1,40.00
mem_full_test,0,0,749,WR,1,40.00
mem_full_test,0,0,751,WR,1,40.00
mem_full_test,0,0,753,WR,1,40.00
mem_full_test,0,0,755,WR,1,40.00
mem_full_test,0,0,757,WR,1,40.00
mem_full_test,0,0,759,WR,1,40.00
mem_full_test,0,0,761,WR,1,40.00
mem_full_test,0,0,763,WR,1,40.00
mem_full_test,0,0,765,WR,1,40.00
mem_full_test,0,0,767,WR,1,50.00
mem_full_test,0,0,769,WR,1,50.00
mem_full_test,0,0,771,WR,1,40.00
mem_full_test,0,0,773,WR,1,40.00
mem_full_test,0,0,775,WR,1,40.00
mem_full_test,0,0,777,WR,1,50.00
mem_full_test,0,0,779,WR,1,40.00
mem_full_test,0,0,781,WR,1,40.00
mem_full_test,0,0,783,WR,1,40.00
mem_full_test,0,0,785,WR,1,40.00
mem_full_test,0,0,787,WR,1,40.00
mem_full_test,0,0,789,WR,1,40.00
mem_full_test,0,0,791,WR,1,50.00
mem_full_test,0,0,793,WR,1,40.00
mem_full_test,0,0,795,WR,1,40.00
mem_full_test,0,0,797,WR,1,50.00
mem_full_test,0,0,799,WR,1,40.00
mem_full_test,0,0,801,WR,1,40.00
mem_full_test,0,0,803,WR,1,40.00
mem_full_test,0,0,805,WR,1,40.00
mem_full_test,0,0,807,WR,1,40.00
mem_full_test,0,0,809,WR,1,50.00
mem_full_test,0,0,811,WR,1,50.00
mem_full_test,0,0,813,WR,1,40.00
mem_full_test,0,0,815,WR,1,40.00
mem_full_test,0,0,817,WR,1,40.00
mem_full_test,0,0,819,WR,1,40.00
mem_full_test,0,0,821,WR,1,40.00
mem_full_test,0,0,823,WR,1,40.00
mem_full_test,0,0,825,WR,2,40.00
mem_full_test,0,0,827,WR,2,40.00
mem_full_test,0,0,829,WR,2,40.00
mem_full_test,0,0,831,WR,2,40.00
mem_full_test,0,0,833,WR,2,40.00
mem_full_test,0,0,835,WR,2,50.00
mem_full_test,0,0,837,WR,2,60.00
mem_full_test,0,0,839,WR,2,40.00
mem_full_test,0,0,841,WR,2,40.00
mem_full_test,0,0,843,WR,2,40.00
mem_full_test,0,0,845,WR,2,50.00
mem_full_test,0,0,847,WR,2,40.00
mem_full_test,0,0,849,WR,2,50.00
mem_full_test,0,0,851,WR,2,40.00
